Code Smell,Project,Package,Class,Method,Method,Class,NOAM_type,NOP_method,MaMCL_method,MeMCL_method,CLNAMM_method,num_not_final_not_static_attributes,number_private_visibility_attributes
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.Providers,DirectoryService,"GetFilePaths(string path, bool clearCache)","GetFilePaths(string path, bool clearCache)",DirectoryService,0,2,2,2,0,0,4
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.GroupStates,AbstractGroupState,"HandleRequest(RemoveFromPlaylistGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)","HandleRequest(RemoveFromPlaylistGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)",AbstractGroupState,0,5,3,2.2222222222222223,0,0,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.GroupStates,IdleGroupState,"HandleRequest(PlayGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)","HandleRequest(PlayGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)",IdleGroupState,0,5,2,2,0,0,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.GroupStates,PausedGroupState,"HandleRequest(StopGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)","HandleRequest(StopGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)",PausedGroupState,0,5,2,2,0,0,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.GroupStates,PausedGroupState,"SessionJoined(IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)","SessionJoined(IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)",PausedGroupState,0,4,2,2,0,0,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.GroupStates,PlayingGroupState,"HandleRequest(BufferGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)","HandleRequest(BufferGroupRequest request, IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)",PlayingGroupState,0,5,2,2,0,0,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.GroupStates,PlayingGroupState,"SessionJoined(IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)","SessionJoined(IGroupStateContext context, GroupStateType prevState, SessionInfo session, CancellationToken cancellationToken)",PlayingGroupState,0,4,2,2,0,0,1
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.Queue,PlayQueueManager,RestoreSortedPlaylist(),RestoreSortedPlaylist(),PlayQueueManager,0,0,2,2,0,0,2
Long Method,MediaBrowser.Controller,MediaBrowser.Controller.SyncPlay.Queue,PlayQueueManager,SetPlayingItemById(Guid itemId),SetPlayingItemById(Guid itemId),PlayQueueManager,0,1,3,2.5,1,0,2
Long Method,MediaBrowser.LocalMetadata,MediaBrowser.LocalMetadata,BaseXmlProvider,"GetMetadata(ItemInfo info, IDirectoryService directoryService, CancellationToken cancellationToken)","GetMetadata(ItemInfo info, IDirectoryService directoryService, CancellationToken cancellationToken)",BaseXmlProvider,0,3,2,2,2,0,0
Long Method,MediaBrowser.LocalMetadata,MediaBrowser.LocalMetadata.Parsers,BaseItemXmlParser,"Fetch(MetadataResult<T> item, string metadataFile, CancellationToken cancellationToken)","Fetch(MetadataResult<T> item, string metadataFile, XmlReaderSettings settings, Encoding encoding, CancellationToken cancellationToken)",BaseItemXmlParser,0,3,2,2,1,1,2
Long Method,MediaBrowser.LocalMetadata,MediaBrowser.LocalMetadata.Parsers,BaseItemXmlParser,"FetchFromTagsNode(XmlReader reader, BaseItem item)","FetchFromTagsNode(XmlReaderreader, BaseItem item)",BaseItemXmlParser,0,2,2,2,0,1,2
Long Method,MediaBrowser.LocalMetadata,MediaBrowser.LocalMetadata.Savers,BaseXmlSaver,"Save(BaseItem item, Stream stream)","Save(BaseItem item, Stream stream)",BaseXmlSaver,0,2,2,2,3,0,1
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Attachments,AttachmentExtractor,Dispose(bool disposing),Dispose(bool disposing),AttachmentExtractor,0,1,0,0,0,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Attachments,AttachmentExtractor,"GetReadableFile(string mediaPath, string inputFile, MediaSourceInfo mediaSource, MediaAttachment mediaAttachment, CancellationToken cancellationToken)","GetReadableFile(string mediaPath, string inputFile, MediaSourceInfo mediaSource, MediaAttachment mediaAttachment, CancellationToken cancellationToken)",AttachmentExtractor,0,5,2,2,2,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Configuration,EncodingConfigurationFactory,GetConfigurations(),GetConfigurations(),EncodingConfigurationFactory,0,0,0,0,0,0,0
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Encoder,EncoderValidator,GetCodecs(Codec codec),GetCodecs(Codec codec),EncoderValidator,0,1,2,2,1,0,6
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Encoder,MediaEncoder,"StopProcess(ProcessWrapper process, int waitTimeMs)","StopProcess(ProcessWrapper process, int waitTimeMs)",MediaEncoder,0,2,3,2.5,0,6,17
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Encoder,MediaEncoder,StopProcesses(),StopProcesses(),MediaEncoder,0,0,2,2,1,6,17
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,"FetchGenres(MediaInfo info, Dictionary<string, string> tags)","FetchGenres(MediaInfo info, Dictionary<string, string> tags)",ProbeResultNormalizer,0,2,2,2,1,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,"GetMediaStream(bool isAudio, MediaStreamInfo streamInfo, MediaFormatInfo formatInfo)","GetMediaStream(bool isAudio, MediaStreamInfo streamInfo, MediaFormatInfo formatInfo)",ProbeResultNormalizer,0,3,3,2025,12,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,NormalizeFormat(string format),NormalizeFormat(string format),ProbeResultNormalizer,0,1,2,2,0,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,ParseChannelLayout(string input),ParseChannelLayout(string input),ProbeResultNormalizer,0,1,2,2,0,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Probing,ProbeResultNormalizer,"SetSize(InternalMediaInfoResult data, MediaInfo info)","SetSize(InternalMediaInfoResult data, MediaInfo info)",ProbeResultNormalizer,0,2,2,2,0,1,7
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Subtitles,SrtWriter,"Write(SubtitleTrackInfo info, Stream stream, CancellationToken cancellationToken)","Write(SubtitleTrackInfo info, Stream stream, CancellationToken cancellationToken)",SrtWriter,0,3,2,2,0,0,0
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Subtitles,SsaParser,"CheckAndAddSubTags(ref string tagName, ref string extraTags, out bool italic)","CheckAndAddSubTags(ref string tagName, ref string extraTags, out bool italic)",SsaParser,0,3,2,2,0,0,0
Long Method,MediaBrowser.MediaEncoding,MediaBrowser.MediaEncoding.Subtitles,SubtitleEncoder,GetWriter(string format),GetWriter(string format),SubtitleEncoder,0,1,0,0,1,0,8
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,AudioOptions,GetMaxBitrate(bool isAudio),GetMaxBitrate(bool isAudio),AudioOptions,0,1,0,0,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,ConditionProcessor,"IsImageConditionSatisfied(ProfileCondition condition, int? width, int? height)","IsImageConditionSatisfied(ProfileCondition condition, int? width, int? height)",ConditionProcessor,0,3,0,0,2,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,ConditionProcessor,"IsVideoConditionSatisfied(ProfileCondition condition, int? width, int? height, int? videoBitDepth, int? videoBitrate, string? videoProfile, double? videoLevel, float? videoFramerate, int? packetLength, TransportStreamTimestamp? timestamp, bool? isAnamorphic, bool? isInterlaced, int? refFrames, int? numVideoStreams, int? numAudioStreams, string? videoCodecTag, bool? isAvc)","IsVideoConditionSatisfied(ProfileCondition condition, int? width, int? height, int? videoBitDepth, int? videoBitrate, string? videoProfile, double? videoLevel, float? videoFramerate, int? packetLength, TransportStreamTimestamp? timestamp, bool? isAnamorphic, bool? isInterlaced, int? refFrames, int? numVideoStreams, int? numAudioStreams, string? videoCodecTag, bool? isAvc)",ConditionProcessor,0,17,0,0,16,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,ContentFeatureBuilder,"BuildVideoHeader(string container, string videoCodec, string audioCodec, int? width, int? height, int? bitDepth, int? videoBitrate, TransportStreamTimestamp timestamp, bool isDirectStream, long? runtimeTicks, string videoProfile, double? videoLevel, float? videoFramerate, int? packetLength, TranscodeSeekInfo transcodeSeekInfo, bool? isAnamorphic, bool? isInterlaced, int? refFrames, int? numVideoStreams, int? numAudioStreams, string videoCodecTag, bool? isAvc)","BuildVideoHeader(string container, string videoCodec, string audioCodec, int? width, int? height, int? bitDepth, int? videoBitrate, TransportStreamTimestamp timestamp, bool isDirectStream, long? runtimeTicks, string videoProfile, double? videoLevel, float? videoFramerate, int? packetLength, TranscodeSeekInfo transcodeSeekInfo, bool? isAnamorphic, bool? isInterlaced, int? refFrames, int? numVideoStreams, int? numAudioStreams, string videoCodecTag, bool? isAvc)",ContentFeatureBuilder,0,22,3,2.076923076923077,1,0,1
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,DeviceProfile,GetModelProfileCondition(ProfileCondition c),GetModelProfileCondition(ProfileCondition c),DeviceProfile,0,1,0,0,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,MediaFormatProfileResolver,"ResolveImageFormat(string container, int? width, int? height)","ResolveImageFormat(string container, int? width, int? height)",MediaFormatProfileResolver,0,3,2,2,2,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,MediaFormatProfileResolver,"ResolveImagePNGFormat(int? width, int? height)","ResolveImagePNGFormat(int? width, int? height)",MediaFormatProfileResolver,0,2,0,0,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamBuilder,"ApplyTranscodingConditions(StreamInfo item, IEnumerable<ProfileCondition> conditions, string qualifier, bool enableQualifiedConditions, bool enableNonQualifiedConditions)","ApplyTranscodingConditions(StreamInfo item, IEnumerable<ProfileCondition> conditions, string qualifier, bool enableQualifiedConditions, bool enableNonQualifiedConditions)",StreamBuilder,0,5,2,2,0,0,2
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamBuilder,GetMaxAudioBitrateForTotalBitrate(long totalBitrate),GetMaxAudioBitrateForTotalBitrate(long totalBitrate),StreamBuilder,0,1,0,0,0,0,2
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamInfo,GetOption(string name),GetOption(string name),StreamInfo,0,1,2,2,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Dlna,StreamInfo,GetSelectableStreams(MediaStreamType type),GetSelectableStreams(MediaStreamType type),StreamInfo,0,1,2,2,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Extensions,StringHelper,FirstToUpper(string str),FirstToUpper(string str),StringHelper,0,1,2,2,0,0,0
Long Method,MediaBrowser.Model,MediaBrowser.Model.Net,MimeTypes,"GetMimeType(string path, bool enableStreamDefault)","GetMimeType(string path, bool enableStreamDefault)",MimeTypes,0,2,2,2,0,0,3
Long Method,MediaBrowser.Model,MediaBrowser.Model.Notifications,NotificationOptions,"IsServiceEnabled(string service, string notificationType)","IsServiceEnabled(string service, string notificationType)",NotificationOptions,0,2,3,3,1,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ItemImageProvider,"SaveImageStub(BaseItem item, ImageType imageType, IEnumerable<string> urls, int newIndex)","SaveImageStub(BaseItem item, ImageType imageType, IEnumerable<string> urls, int newIndex)",ItemImageProvider,0,4,2,2,0,0,4
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"ApplySearchResult(ItemLookupInfo lookupInfo, RemoteSearchResult result)","ApplySearchResult(ItemLookupInfo lookupInfo, RemoteSearchResult result)",MetadataService,0,2,0,0,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"ExecuteRemoteProviders(MetadataResult<TItemType> temp, string logName, TIdType id, IEnumerable<IRemoteMetadataProvider<TItemType, TIdType>> providers, CancellationToken cancellationToken)","ExecuteRemoteProviders(MetadataResult<TItemType> temp, string logName, TIdType id, IEnumerable<IRemoteMetadataProvider<TItemType, TIdType>> providers, CancellationToken cancellationToken)",MetadataService,0,5,2,2,3,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,GetChildrenForMetadataUpdates(TItemType item),GetChildrenForMetadataUpdates(TItemType item),MetadataService,0,1,2,2,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"GetNonLocalImageProviders(BaseItem item, IEnumerable<IImageProvider> allImageProviders, ImageRefreshOptions options)","GetNonLocalImageProviders(BaseItem item, IEnumerable<IImageProvider> allImageProviders, ImageRefreshOptions options)",MetadataService,0,3,2,2,1,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,MetadataService,"SavePeopleMetadataAsync(List<PersonInfo> people, LibraryOptions libraryOptions, CancellationToken cancellationToken)","SavePeopleMetadataAsync(List<PersonInfo> people, LibraryOptions libraryOptions, CancellationToken cancellationToken)",MetadataService,0,3,2,2,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderManager,"GetImages(BaseItem item, IRemoteImageProvider provider, IReadOnlyCollection<string> preferredLanguages, CancellationToken cancellationToken, ImageType? type = null)","GetImages(BaseItem item, IRemoteImageProvider provider, IReadOnlyCollection<string> preferredLanguages, CancellationToken cancellationToken, ImageType? type = null)",ProviderManager,0,5,2,2,0,6,19
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderManager,"GetRemoteSearchResults(RemoteSearchQuery<TLookupType> searchInfo, CancellationToken cancellationToken)","GetRemoteSearchResults(RemoteSearchQuery<TLookupType> searchInfo, CancellationToken cancellationToken)",ProviderManager,0,2,3,2.5,0,6,19
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderManager,"GetSearchImage(string providerName, string url, CancellationToken cancellationToken)","GetSearchImage(string providerName, string url, CancellationToken cancellationToken)",ProviderManager,0,3,2,2,0,6,19
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Manager,ProviderUtils,"MergeDisplayOrder(BaseItem source, BaseItem target, bool replaceData)","MergeDisplayOrder(BaseItem source, BaseItem target, bool replaceData)",ProviderUtils,0,3,2,2,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.MediaInfo,FFProbeProvider,FetchShortcutInfo(BaseItem item),FetchShortcutInfo(BaseItem item),FFProbeProvider,0,1,2,2,0,0,13
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.MediaInfo,FFProbeVideoInfo,"AddExternalSubtitles(Video video, List<MediaStream> currentStreams, MetadataRefreshOptions options, CancellationToken cancellationToken)","AddExternalSubtitles(Video video, List<MediaStream> currentStreams, MetadataRefreshOptions options, CancellationToken cancellationToken)",FFProbeVideoInfo,0,4,2,2,1,0,12
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.MediaInfo,FFProbeVideoInfo,"FetchBdInfo(BaseItem item, ref ChapterInfo[] chapters, List<MediaStream> mediaStreams, BlurayDiscInfo blurayInfo)","FetchBdInfo(BaseItem item, ref ChapterInfo[] chapters, List<MediaStream> mediaStreams, BlurayDiscInfo blurayInfo)",FFProbeVideoInfo,0,4,2,2,3,0,12
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.MediaInfo,FFProbeVideoInfo,"FetchPeople(Video video, Model.MediaInfo.MediaInfo data, MetadataRefreshOptions options)","FetchPeople(Video video, Model.MediaInfo.MediaInfo data, MetadataRefreshOptions options)",FFProbeVideoInfo,0,3,3,2.25,0,0,12
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.MediaInfo,FFProbeVideoInfo,GetRuntime(Title title),GetRuntime(Title title),FFProbeVideoInfo,0,1,3,2.3333333333333335,0,0,12
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Music,AlbumInfoExtensions,GetReleaseId(this AlbumInfo info),GetReleaseId(this AlbumInfo info),AlbumInfoExtensions,0,1,3,2.1666666666666665,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Music,AlbumMetadataService,"SetArtistsFromSongs(MusicAlbum item, IEnumerable<Audio> songs)","SetArtistsFromSongs(MusicAlbum item, IEnumerable<Audio> songs)",AlbumMetadataService,0,2,3,2.2,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Music,MusicBrainzAlbumProvider,"GetReleaseResult(string artistMusicBrainId, string artistName, string albumName, CancellationToken cancellationToken)","GetReleaseResult(string artistMusicBrainId, string artistName, string albumName, CancellationToken cancellationToken)",MusicBrainzAlbumProvider,0,4,2,2,2,2,8
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Music,MusicBrainzAlbumProvider,"GetReleaseResultByArtistName(string albumName, string artistName, CancellationToken cancellationToken)","GetReleaseResultByArtistName(string albumName, string artistName, CancellationToken cancellationToken)",MusicBrainzAlbumProvider,0,3,3,2.111111111111111,1,2,8
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Music,MusicBrainzArtistProvider,"GetMetadata(ArtistInfo id, CancellationToken cancellationToken)","GetMetadata(ArtistInfo id, CancellationToken cancellationToken)",MusicBrainzArtistProvider,0,2,3,2.142857142857143,1,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Playlists,PlaylistItemsProvider,"GetItems(Stream stream, string extension)","GetItems(Stream stream, string extension)",PlaylistItemsProvider,0,2,2,2,5,0,1
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.AudioDb,AudioDbAlbumImageProvider,"GetImages(BaseItem item, CancellationToken cancellationToken)","GetImages(BaseItem item, CancellationToken cancellationToken)",AudioDbAlbumImageProvider,0,2,3,2125,1,0,3
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.AudioDb,AudioDbArtistProvider,"GetMetadata(ArtistInfo info, CancellationToken cancellationToken)","GetMetadata(ArtistInfo info, CancellationToken cancellationToken)",AudioDbArtistProvider,0,2,2,2,2,0,5
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.AudioDb,Plugin,GetPages(),GetPages(),Plugin,0,0,0,0,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.MusicBrainz,Plugin,GetPages(),GetPages(),Plugin,0,0,0,0,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Omdb,OmdbProvider,GetOmdbUrl(string query),GetOmdbUrl(string query),OmdbProvider,0,1,2,2,0,0,6
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Omdb,OmdbProvider,"GetSeasonFilePath(string imdbId, int seasonId)","GetSeasonFilePath(string imdbId, int seasonId)",OmdbProvider,0,2,2,2,0,0,6
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb,TmdbClientManager,"FindByExternalIdAsync(string externalId, FindExternalSource source, string language, CancellationToken cancellationToken)","FindByExternalIdAsync(string externalId, FindExternalSource source, string language, CancellationToken cancellationToken)",TmdbClientManager,0,4,2,2,1,0,3
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb,TmdbClientManager,"GetMovieAsync(int tmdbId, string language, string imageLanguages, CancellationToken cancellationToken)","GetMovieAsync(int tmdbId, string language, string imageLanguages, CancellationToken cancellationToken)",TmdbClientManager,0,4,2,2,1,0,3
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb,TmdbClientManager,"GetSeriesAsync(int tmdbId, string language, string imageLanguages, CancellationToken cancellationToken)","GetSeriesAsync(int tmdbId, string language, string imageLanguages, CancellationToken cancellationToken)",TmdbClientManager,0,4,2,2,1,0,3
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb,TmdbClientManager,"SearchCollectionAsync(string name, string language, CancellationToken cancellationToken)","SearchCollectionAsync(string name, string language, CancellationToken cancellationToken)",TmdbClientManager,0,3,2,2,1,0,3
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb,TmdbClientManager,"SearchSeriesAsync(string name, string language, CancellationToken cancellationToken)","SearchSeriesAsync(string name,string language, CancellationToken cancellationToken)",TmdbClientManager,0,3,2,2,1,0,3
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb,TmdbUtils,GetImageLanguagesParam(string preferredLanguage),GetImageLanguagesParam(string preferredLanguage),TmdbUtils,0,1,2,2,1,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb,TmdbUtils,MapCrewToPersonType(Crew crew),MapCrewToPersonType(Crew crew),TmdbUtils,0,1,3,3,0,0,0
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb.People,TmdbPersonProvider,"GetMetadata(PersonLookupInfo id, CancellationToken cancellationToken)","GetMetadata(PersonLookupInfo id, CancellationToken cancellationToken)",TmdbPersonProvider,0,2,3,2.090909090909091,0,0,2
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb.TV,TmdbSeriesProvider,"GetMetadata(SeriesInfo info, CancellationToken cancellationToken)","GetMetadata(SeriesInfo info, CancellationToken cancellationToken)",TmdbSeriesProvider,0,2,3,2.1153846153846154,0,0,2
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Plugins.Tmdb.TV,TmdbSeriesProvider,GetPersons(TvShow seriesResult),GetPersons(TvShow seriesResult),TmdbSeriesProvider,0,1,4,2.5,0,0,2
Long Method,MediaBrowser.Providers,MediaBrowser.Providers.Studios,StudiosImageProvider,GetComparableName(string name),GetComparableName(string name),StudiosImageProvider,0,1,2,2,0,0,3
